code,name,year,avg_total_score,school_count
0301J2,警事法学,2024,341.0,1
095200,兽医,2024,259.6666666666667,66
082100,纺织科学与工程,2022,275.5263157894737,19
100701,药物化学,2022,314.22222222222223,54
1201Z4,工程与项目管理,2024,376.0,1
0817Z1,制药工程,2022,273.0,2
070402,天体测量与天体力学,2022,309.77777777777777,9
080802,电力系统及其自动化,2022,297.7,10
040104,比较教育学,2022,351.85,20
070503,地图学与地理信息系统,2023,298.36206896551727,58
085800,能源动力,2023,287.780701754386,114
090701,林木遗传育种,2023,250.08333333333334,12
0771Z1,健康心理学,2023,360.0,1
0805J1,低碳能源化学与工程,2024,273.0,1
070208,无线电物理,2024,287.3076923076923,13
0202Z1,金融工程,2022,356.6666666666667,3
0809,电子科学与技术,2023,285.27272727272725,11
0602,中国史,2023,350.25,8
09,农学,2024,260.1142857142857,35
030105,民商法学,2024,340.80281690140845,71
100211,妇产科学,2022,310.921568627451,51
0304Z1,民族生态学,2022,325.0,1
0815Z2,水信息学,2022,315.0,1
0808Z2,能源与电工的新材料及器件,2022,358.0,2
120100,管理科学与工程,2023,343.6385542168675,166
0401J7,科学传播与科学教育,2023,350.0,1
095400,林业,2023,256.9032258064516,62
050104,中国古典文献学,2023,362.3478260869565,46
1201Z3,信息管理与信息系统,2023,340.0,1
1005Z1,中医药卫生事业管理,2023,295.0,1
110500,军队指挥学,2023,260.6666666666667,6
090701,林木遗传育种,2024,253.28571428571428,14
1002Z1,听力学,2022,309.0,1
0401Z1,德育学,2023,361.0,1
082804,农业电气化与自动化,2024,258.9,20
082603,火炮、自动武器与弹药工程,2024,298.3333333333333,3
0502Z6,英语教育,2024,365.0,1
081403,市政工程,2024,276.5581395348837,43
100800,中药学,2024,307.2560975609756,82
100601,中西医结合基础,2022,308.3333333333333,36
050300,新闻传播学,2022,371.7142857142857,56
0452,体育,2022,319.48,25
0818,地质资源与地质工程,2024,289.1818181818182,11
105104,神经病学,2024,303.63945578231295,147
085605,林业工程,2022,265.5,4
0101Z1,文化哲学,2022,314.0,1
0817Z2,化工装备与控制工程,2022,273.0,1
125602,项目管理,2023,180.14814814814815,27
070800,地球物理学,2023,289.11764705882354,17
035200,社会工作,2023,337.94736842105266,152
020102,经济思想史,2023,348.1666666666667,6
1005Z3,中医养生学,2023,295.0,1
081101,控制理论与控制工程,2023,288.24,25
0202Z4,房地产经济学,2022,375.0,1
0812Z3,人工智能,2024,334.0,3
085802,动力工程,2024,280.96385542168673,83
0710J1,纳米生物医学,2022,290.0,1
