code,name,category
0,0,未分类
01,哲学,未分类
0101,哲学,未分类
010100,哲学,未分类
010101,马克思主义哲学,未分类
010102,中国哲学,未分类
010103,外国哲学,未分类
010104,逻辑学,未分类
010105,伦理学,未分类
010106,美学,未分类
010107,宗教学,未分类
010108,科学技术哲学,未分类
0101J1,国学,未分类
0101Z1,文化哲学,未分类
0151,应用伦理,未分类
015100,应用伦理,未分类
02,经济学,未分类
0201,理论经济学,未分类
020100,理论经济学,未分类
020101,政治经济学,未分类
020102,经济思想史,未分类
020103,经济史,未分类
020104,西方经济学,未分类
020105,世界经济,未分类
020106,人口、资源与环境经济学,未分类
0201J1,生态文明学,未分类
0201J7,乡村振兴学,未分类
0201Z1,实验经济学,未分类
0201Z2,马克思主义与中国经济社会发展,未分类
0201Z3,数字经济与法治,未分类
0201Z4,数字经济学,未分类
0201Z5,新国际政治经济学,未分类
0201Z6,数字经济学,未分类
0202,应用经济学,未分类
020200,应用经济学,未分类
020201,国民经济学,未分类
020202,区域经济学,未分类
020203,财政学,未分类
020204,金融学,未分类
020205,产业经济学,未分类
020206,国际贸易学,未分类
020207,劳动经济学,未分类
020208,统计学,未分类
020209,数量经济学,未分类
020210,国防经济,未分类
0202J1,资源环境与循环经济,未分类
0202J2,全球价值链,未分类
0202J5,金融工程,未分类
0202J6,健康经济学,未分类
0202Z1,金融工程,未分类
0202Z2,投资学,未分类
0202Z3,房地产经济学,未分类
0202Z4,保险学,未分类
0202Z5,精算学,未分类
0202Z6,保险学,未分类
0202Z7,自由贸易区理论与实务,未分类
0202Z8,金融数学与金融工程,未分类
0202Z9,税收学,未分类
0251,金融,未分类
025100,金融,未分类
0252,应用统计,未分类
025200,应用统计,未分类
0253,税务,未分类
025300,税务,未分类
0254,国际商务,未分类
025400,国际商务,未分类
0255,保险,未分类
025500,保险,未分类
0256,资产评估,未分类
025600,资产评估,未分类
0257,审计,未分类
025700,审计,未分类
0258,数字经济,未分类
025800,数字经济,未分类
0259,碳经济,未分类
0270,统计学,未分类
027000,统计学,未分类
0270Z1,经济统计学,未分类
03,法学,未分类
0301,法学,未分类
030100,法学,未分类
030101,法学理论,未分类
030102,法律史,未分类
030103,宪法学与行政法学,未分类
030104,刑法学,未分类
030105,民商法学,未分类
030106,诉讼法学,未分类
030107,经济法学,未分类
030108,环境与资源保护法学,未分类
030109,国际法学,未分类
030110,军事法学,未分类
0301J1,网络法学,未分类
0301J2,国家安全学,未分类
0301J3,劳动关系学,未分类
0301J4,传播法学,未分类
0301J5,法治文化,未分类
0301J6,国家安全法学,未分类
0301J7,法律与语言,未分类
0301J8,涉外法治,未分类
0301Z1,知识产权,未分类
0301Z2,证据法学,未分类
0301Z3,比较法学,未分类
0301Z4,知识产权法学,未分类
0301Z5,法与经济学,未分类
0301Z6,人权法学,未分类
0301Z7,传媒法制,未分类
0301Z8,社会法学,未分类
0301Z9,法律职业伦理,未分类
0302,政治学,未分类
030200,政治学,未分类
030201,政治学理论,未分类
030202,中外政治制度,未分类
