school_id,school_name,province,type,is_985,is_211,recruit_number,rank
140,上海海洋大学,上海,农林类,否,否,1946,181
1211,上海第二工业大学,上海,理工类,否,否,1165,426
1089,上海工程技术大学,上海,理工类,否,否,1733,291
376,东北林业大学,黑龙江,农林类,否,是,2242,140
1001,兰州财经大学,甘肃,财经类,否,否,1055,745
43,西藏大学,西藏,综合类,否,是,820,247
82,海军工程大学,湖北,军事类,否,否,356,2000
459,青岛大学,山东,综合类,否,否,2076,136
269,上海师范大学,上海,综合类,否,否,3138,147
5,清华大学,北京,综合类,是,是,2979,1
147,北京大学,北京,综合类,是,是,3604,2
171,浙江大学,浙江,综合类,是,是,4496,3
267,上海交通大学,上海,综合类,是,是,4754,4
254,复旦大学,上海,综合类,是,是,4907,5
39,南京大学,江苏,综合类,是,是,3478,6
160,中国科学技术大学,安徽,综合类,是,是,3475,7
37,华中科技大学,湖北,综合类,是,是,4120,8
3,武汉大学,湖北,综合类,是,是,3215,9
225,西安交通大学,陕西,综合类,是,是,4168,10
231,中山大学,广东,综合类,是,是,3805,11
182,北京航空航天大学,北京,理工类,是,是,2792,12
287,东南大学,江苏,综合类,是,是,3033,13
184,北京理工大学,北京,理工类,是,是,2630,14
208,四川大学,四川,综合类,是,是,3920,15
378,哈尔滨工业大学,黑龙江,理工类,是,是,3623,16
7,北京协和医学院,北京,医药类,否,否,541,17
257,同济大学,上海,综合类,是,是,3756,18
178,中国人民大学,北京,综合类,是,是,2696,19
174,北京师范大学,北京,师范类,是,是,3115,20
242,天津大学,天津,综合类,是,是,3733,21
243,南开大学,天津,综合类,是,是,2300,22
292,山东大学,山东,综合类,是,是,3667,23
149,西北工业大学,陕西,理工类,是,是,3320,24
144,厦门大学,福建,综合类,是,是,3956,25
51,中南大学,湖南,综合类,是,是,3706,26
359,吉林大学,吉林,综合类,是,是,4350,27
194,中国农业大学,北京,农林类,是,是,2085,28
318,大连理工大学,辽宁,理工类,是,是,3429,29
261,华东师范大学,上海,师范类,是,是,3184,30
56,华南理工大学,广东,综合类,是,是,3246,31
222,电子科技大学,四川,理工类,是,是,3511,32
121,湖南大学,湖南,综合类,是,是,2914,33
252,重庆大学,重庆,综合类,是,是,2788,34
1386,南方科技大学,广东,理工类,否,否,737,35
410,北京科技大学,北京,理工类,否,是,2062,36
264,上海财经大学,上海,财经类,否,是,1797,37
275,南京航空航天大学,江苏,理工类,否,是,2445,38
282,南京理工大学,江苏,理工类,否,是,2729,39
262,兰州大学,甘肃,综合类,是,是,3701,40
319,东北大学,辽宁,理工类,是,是,3146,41
204,首都医科大学,北京,医药类,否,否,1303,42
229,西安电子科技大学,陕西,理工类,否,是,2514,43
19,北京交通大学,北京,理工类,否,是,2486,44
1407,上海科技大学,上海,理工类,否,否,579,45
284,苏州大学,江苏,综合类,否,是,3903,46
259,华东理工大学,上海,理工类,否,是,2509,47
416,中央财经大学,北京,财经类,否,是,1507,48
285,哈尔滨工程大学,黑龙江,理工类,否,是,3183,49
360,东北师范大学,吉林,师范类,否,是,1691,50
930,南方医科大学,广东,医药类,否,否,1757,51
90,华中农业大学,湖北,农林类,否,是,3263,52
950,中国石油大学（北京）,北京,理工类,否,是,1987,53
277,南京医科大学,江苏,医药类,否,否,1767,54
1390,香港中文大学（深圳）,香港,综合类,否,否,0,55
33,南京农业大学,江苏,农林类,否,是,1874,56
25,郑州大学,河南,综合类,否,是,8053,57
155,暨南大学,广东,综合类,否,是,4744,58
377,哈尔滨医科大学,黑龙江,医药类,否,否,1471,59
1115,南京师范大学,江苏,师范类,否,是,2445,60
126,武汉理工大学,湖北,理工类,否,是,4828,61
450,中国矿业大学,江苏,综合类,否,是,2080,62
176,对外经济贸易大学,北京,财经类,否,是,1595,63
338,中国医科大学,辽宁,医药类,否,否,2108,64
189,中国政法大学,北京,政法类,否,是,1161,65
288,江南大学,江苏,综合类,否,是,2710,66
245,天津医科大学,天津,医药类,否,是,625,67
142,上海大学,上海,综合类,否,是,3285,68
460,中国海洋大学,山东,综合类,是,是,2859,69
131,华中师范大学,湖北,师范类,否,是,2695,70
220,西南交通大学,四川,理工类,否,是,3227,71
307,中国石油大学（华东）,山东,理工类,否,是,2047,72
108,中国地质大学（武汉）,湖北,理工类,否,是,2680,73
